,Name,School,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS
2100,Alex Poythress,Kentucky,112.0,62.0,22.1,3.2,5.8,0.551,2.9,4.9,0.595,0.3,0.9,0.302,2.0,2.9,0.6859999999999999,1.8,3.5,5.3,0.5,0.4,0.7,1.3,2.7,8.6,8.3
2101,Tim Quarterman,LSU,99.0,44.0,24.9,2.7,6.9,0.397,1.7,3.7,0.47100000000000003,1.0,3.2,0.31,1.9,2.9,0.66,1.2,2.7,3.9,3.1,1.0,0.4,1.7,2.2,8.4,6.41
2102,Chasson Randle,Stanford,144.0,142.0,33.3,5.3,12.3,0.428,3.2,6.9,0.462,2.1,5.5,0.386,3.8,4.8,0.8059999999999999,0.5,2.8,3.3,2.5,1.2,0.1,2.3,2.7,16.5,6.92
2103,Malachi Richardson,Syracuse,37.0,37.0,34.4,4.1,11.1,0.369,2.0,5.1,0.38799999999999996,2.1,6.1,0.353,3.1,4.2,0.72,0.5,3.8,4.3,2.1,1.1,0.3,2.1,2.5,13.4,9.75
2104,Domantas Sabonis,Gonzaga,74.0,32.0,26.6,5.2,8.2,0.632,5.1,8.0,0.638,0.1,0.2,0.35700000000000004,3.1,4.2,0.7290000000000001,2.6,6.8,9.4,1.3,0.5,0.6,2.0,3.0,13.5,4.67
2105,Wayne Selden,Kansas,109.0,108.0,29.5,3.9,8.9,0.436,2.4,4.8,0.494,1.5,4.1,0.366,1.8,2.8,0.632,0.9,2.1,3.0,2.6,0.7,0.4,1.9,2.0,11.0,11.58
2106,Pascal Siakam,New Mexico State,68.0,61.0,32.7,6.5,11.8,0.551,6.4,11.5,0.5589999999999999,0.0,0.3,0.17600000000000002,3.5,5.0,0.711,3.6,6.1,9.7,1.5,0.9,2.0,1.9,2.6,16.6,-3.6
2108,Isaiah Taylor,Texas,92.0,92.0,30.8,4.5,11.1,0.40399999999999997,4.1,9.8,0.419,0.4,1.3,0.294,4.3,5.4,0.792,0.4,2.7,3.1,4.5,1.0,0.1,2.3,2.5,13.6,9.98
2109,Mike Tobey,Virginia,138.0,48.0,16.3,2.9,5.4,0.531,2.8,5.3,0.537,0.0,0.1,0.316,1.0,1.5,0.7040000000000001,1.6,2.4,4.0,0.4,0.2,0.7,0.8,1.9,6.8,7.76
2110,Tyler Ulis,Kentucky,72.0,35.0,30.1,3.6,8.4,0.42700000000000005,2.4,5.1,0.462,1.2,3.3,0.371,2.9,3.4,0.846,0.5,1.9,2.4,5.3,1.2,0.1,1.5,1.7,11.3,8.76
2111,Jarrod Uthoff,Iowa,100.0,67.0,26.5,4.6,10.2,0.45,3.2,6.6,0.486,1.4,3.6,0.38299999999999995,2.5,3.1,0.795,1.5,4.3,5.8,1.2,0.8,1.8,1.0,1.4,13.0,8.18
2112,Denzel Valentine,Michigan State,144.0,116.0,29.0,4.0,9.1,0.442,2.2,4.6,0.47600000000000003,1.8,4.5,0.408,1.5,2.0,0.779,1.1,4.8,5.9,4.4,0.9,0.3,2.2,2.1,11.4,9.21
2113,Greivis Vasquez,Maryland,136.0,123.0,33.6,5.5,13.0,0.425,3.8,7.9,0.48700000000000004,1.7,5.1,0.32899999999999996,3.2,3.9,0.828,1.0,3.8,4.8,5.7,1.4,0.3,3.3,2.2,16.0,7.95
2114,Nikola Vucevic,USC,87.0,67.0,27.7,4.2,8.3,0.509,3.8,6.9,0.551,0.4,1.4,0.303,2.2,2.9,0.746,2.4,5.5,8.0,1.1,0.5,1.1,1.5,2.4,11.1,7.86
2115,Okaro White,Florida State,139.0,94.0,24.6,3.4,6.8,0.494,2.9,5.3,0.542,0.5,1.5,0.327,2.9,3.6,0.799,1.8,3.2,5.1,0.7,0.7,0.8,1.6,2.9,10.1,7.36
2116,Isaiah Whitehead,Seton Hall,56.0,52.0,30.5,5.1,13.6,0.375,3.0,7.8,0.387,2.1,5.8,0.359,3.5,4.6,0.757,0.7,3.0,3.7,4.5,1.3,1.1,3.4,2.3,15.8,7.92
2119,Jarrett Allen,Texas,33.0,33.0,32.2,5.4,9.6,0.5660000000000001,5.4,9.4,0.579,0.0,0.2,0.0,2.5,4.5,0.564,3.0,5.4,8.4,0.8,0.6,1.5,2.5,2.1,13.4,12.75
2120,Kadeem Allen,Arizona,68.0,61.0,27.5,3.0,6.6,0.45899999999999996,2.3,4.8,0.48200000000000004,0.7,1.8,0.4,2.3,3.1,0.725,0.3,3.3,3.6,3.3,1.3,0.7,2.0,2.4,9.1,7.43
2122,OG Anunoby,Indiana,50.0,10.0,17.4,2.7,4.8,0.563,2.1,3.3,0.652,0.5,1.5,0.365,0.9,1.8,0.522,1.4,2.1,3.5,0.8,1.0,0.9,1.1,1.7,6.8,7.53
2123,Ryan Arcidiacono,Villanova,144.0,142.0,31.9,3.4,8.5,0.397,1.6,3.5,0.45299999999999996,1.8,5.1,0.358,2.6,3.2,0.8,0.3,2.0,2.3,3.7,1.2,0.0,1.8,2.0,11.1,8.32
2124,Jamel Artis,Pitt,135.0,98.0,27.6,4.3,9.1,0.47,3.0,5.8,0.524,1.3,3.3,0.37799999999999995,2.7,3.6,0.759,1.4,3.3,4.6,2.3,0.5,0.3,1.9,1.8,12.6,8.68
2125,Dwayne Bacon,Florida State,69.0,67.0,28.8,6.1,13.5,0.449,4.8,9.3,0.51,1.3,4.1,0.312,3.1,4.2,0.733,1.2,3.8,5.0,1.6,1.0,0.1,2.1,1.9,16.5,8.52
2126,Lonzo Ball,UCLA,36.0,36.0,35.1,5.3,9.5,0.551,3.0,4.1,0.732,2.2,5.4,0.41200000000000003,1.8,2.7,0.6729999999999999,0.9,5.1,6.0,7.6,1.8,0.8,2.5,1.8,14.6,6.39
2127,Jordan Bell,Oregon,105.0,62.0,24.7,3.3,5.4,0.61,3.3,5.2,0.622,0.0,0.2,0.188,1.2,1.8,0.63,2.1,4.7,6.8,1.5,1.1,2.2,1.5,2.3,7.8,8.23
2129,Jabari Bird,California,114.0,80.0,26.4,3.9,8.9,0.442,2.3,4.5,0.512,1.6,4.4,0.371,1.2,1.6,0.753,0.8,2.5,3.3,1.2,0.5,0.3,1.2,1.7,10.8,6.95
2130,Antonio Blakeney,LSU,64.0,54.0,31.8,5.2,11.7,0.444,3.5,6.9,0.51,1.6,4.7,0.34700000000000003,2.8,3.8,0.736,0.9,3.2,4.1,1.3,0.7,0.1,1.4,1.5,14.8,7.85
2131,Chris Boucher,Oregon,69.0,47.0,24.8,4.3,8.2,0.532,3.3,5.0,0.65,1.1,3.2,0.344,2.2,3.4,0.6409999999999999,2.3,4.5,6.8,0.4,0.6,2.7,1.1,2.7,12.0,8.51
2133,Dillon Brooks,Oregon,109.0,98.0,28.9,5.4,11.4,0.47200000000000003,4.2,8.0,0.518,1.2,3.4,0.36200000000000004,2.8,3.5,0.794,1.6,2.9,4.5,2.6,0.9,0.5,2.1,2.9,14.8,8.23
2134,Sterling Brown,Washington,32.0,0.0,4.9,0.6,1.4,0.435,0.4,0.9,0.483,0.2,0.5,0.353,0.3,0.5,0.5329999999999999,0.3,0.4,0.8,0.4,0.1,0.0,0.3,0.7,1.7,10.11
2135,Thomas Bryant,Indiana,69.0,69.0,25.3,4.4,7.5,0.5920000000000001,4.0,6.4,0.63,0.4,1.1,0.373,3.0,4.1,0.718,2.1,4.1,6.2,1.2,0.6,1.2,2.0,2.9,12.2,7.53
2136,Alex Caruso,Texas A&M,137.0,120.0,28.7,2.8,6.1,0.455,2.1,4.2,0.509,0.7,2.0,0.34,1.7,2.5,0.685,0.8,3.0,3.7,4.7,2.0,0.4,2.5,2.5,8.0,5.71
2138,Gian Clavell,Colorado State,70.0,39.0,31.0,5.0,11.9,0.418,2.9,6.0,0.473,2.1,5.9,0.36200000000000004,3.1,4.4,0.698,0.9,4.2,5.2,1.7,1.3,0.6,1.6,2.2,15.2,1.47
2139,Antonius Cleveland,Southeast Missouri State,121.0,108.0,28.8,4.8,9.8,0.494,4.3,8.0,0.54,0.5,1.8,0.28800000000000003,2.7,4.4,0.612,1.4,3.3,4.7,2.0,1.3,0.6,1.9,2.6,12.9,-4.51
2140,John Collins,Wake Forest,64.0,34.0,20.7,4.9,8.2,0.601,4.9,8.2,0.602,0.0,0.0,0.0,3.6,4.9,0.7290000000000001,2.8,4.2,7.0,0.4,0.5,1.2,1.4,2.8,13.4,10.16
2141,Zach Collins,Gonzaga,39.0,0.0,17.3,3.5,5.3,0.652,3.2,4.8,0.672,0.3,0.5,0.47600000000000003,2.8,3.8,0.743,1.7,4.2,5.9,0.4,0.5,1.8,1.5,2.7,10.0,4.13
2142,Kyle Collinsworth,BYU,140.0,128.0,30.9,4.4,9.2,0.47700000000000004,4.2,8.5,0.495,0.2,0.8,0.28,3.2,4.9,0.642,2.2,5.3,7.5,5.0,1.6,0.4,2.6,2.2,12.2,4.71
2144,Matt Costello,Michigan State,138.0,62.0,16.5,2.4,4.2,0.5670000000000001,2.3,4.1,0.5760000000000001,0.0,0.1,0.16699999999999998,1.3,1.8,0.713,1.7,2.9,4.7,0.8,0.4,1.1,0.7,2.1,6.0,9.21
